"species";"b1";"b2";"d0";"d1";"d2";"K";"Q";"Volume"
"sp17";0.221004807466537;0.075279409700241;0.257039569682877;1.62775443497315e-08;0.591932139985084;8.15116638376777;1.56248808494874e-06;109.428853029385
"sp18";0.116600044889988;0.0946776670616677;0.325765391576779;0.000191346276117641;0.268517708392151;16.2871463872329;3.23447745469311e-09;18.1221302831545
"sp19";0.353422728387613;0.0543795313957589;0.383283331643632;1.46916135864641e-05;0.357016098520505;10.3520784515727;2.7433411794892e-06;3842.59799011052
"sp20";0.248030316375723;0.0574058479587212;0.292308085680094;9.69277834294437e-07;0.439835612854886;7.99255104781238;1.42390513669628e-06;179.501753247343
"sp21";0.137805291172492;0.0730929538016122;0.226760300547355;2.70789463464071e-06;0.344651295803181;24.9366125470773;3.37762332742391e-07;68.337201034883
"sp22";0.223880987617187;0.0599713196160296;0.319065043096597;4.74703803046539e-05;0.306539875940174;3.50283745172947;1.43196956266045e-06;125.359985401155
"sp23";0.202930395734028;0.0774068743876769;0.254989070294471;2.07191788392308e-08;0.583789629721733;8.2439076843771;1.56072333199499e-06;109.305258556269
"sp24";0.22841956216885;0.0765315399180684;0.359684757797676;0.000138885090338962;0.278174748940633;16.5811585430701;3.65973868431046e-09;20.5047839004546
"sp25";0.343377657615686;0.0546549288426487;0.393753610603898;2.88585478922993e-05;0.334316584658258;11.2472602195405;2.8174438989151e-06;3946.39366921037
"sp26";0.238618122791976;0.0573631812228997;0.302238393005438;7.40503173015001e-07;0.447405063975384;9.28067277988589;1.47906620975124e-06;186.455523599871
"sp27";0.0923746427243147;0.0841794422859075;0.255538304900502;4.73492866174878e-06;0.332657300675431;31.115090780442;3.43846786534065e-07;69.5682280075271
"sp28";0.195875614325948;0.0621872346665651;0.30173360604763;2.96530979492531e-05;0.319566971929069;4.57409020831073;1.5673117823577e-06;137.208350846777
"sp29";0.190628344474555;0.0784964019178585;0.255077150491971;7.63901503042662e-09;0.616485423881624;8.31686708065178;1.38845154274227e-06;97.2402037959546
"sp30";0.261207201719853;0.0736572874901603;0.361197156915046;0.000187252875576014;0.268854841021168;16.8278642145785;3.45341624494475e-09;19.3488005371764
"sp31";0.469361571098814;0.0516986907960208;0.520541253462381;7.02592465439906e-06;0.398370059335657;7.30450230865446;2.92018247725596e-06;4090.29959589243
"sp32";0.375204510784922;0.0538415973532952;0.474207379018565;7.87251341176679e-06;0.391866246375083;4.11113851574892;1.38670284481363e-06;174.811920725741
"sp33";0.219528921604396;0.0703550890418077;0.323067071347191;2.25248996284881e-05;0.309534892246522;56.1850057358109;3.17212379267042e-07;64.1794659479056
"sp34";0.408428417186416;0.0522204728596414;0.535135813610017;0.00132305035796928;0.2178595538716;1.24515753248495;1.31552780349322e-06;115.166237147059
"sp35";0.287288289018556;0.0724319920188549;0.267154189450706;1.0669897598948e-07;0.550625135533877;7.82315398699157;1.50711929324932e-06;105.551099702716
"sp36";0.256193714531343;0.0825933971768325;0.394688131415675;0.000747293740150667;0.250533309530677;17.719839285413;3.67018996935439e-09;20.5633403602988
"sp37";0.520664219058934;0.0511154978580302;0.525652119858426;1.59050043442788e-05;0.372306674793736;7.42082179621729;2.67922779873781e-06;3752.79437769204
"sp38";0.423789153510937;0.0528864682103129;0.476808507649751;8.79967986883766e-06;0.38969392074686;4.54344669717489;1.29979251982794e-06;163.85574442707
"sp39";0.243289133880338;0.0687310573525098;0.271189744292035;1.81373901134196e-05;0.315751644666614;46.5972020026274;3.4768278431287e-07;70.3443398647942
"sp40";0.335546691542035;0.0572847424819856;0.367689498512272;9.38979415187043e-05;0.302910328571531;3.11537058888412;1.50539025582148e-06;131.787508208072
"sp41";0.259721866732523;0.0742298968379567;0.268008641745567;7.03118523785821e-08;0.564173545653606;7.74737822586101;1.55866435231823e-06;109.161057914607
"sp42";0.144609397552537;0.0978513953854604;0.295460005798029;4.44110560726514e-05;0.350117538019759;15.4759149503452;3.34237239987058e-09;18.7266440819949
"sp43";0.531879533800743;0.0512646089648301;0.522902368501074;1.08914341643289e-05;0.386237436582895;6.91617673242428;2.85362396031531e-06;3997.07108121365
"sp44";0.449095674653755;0.0524644946850592;0.496343856117781;1.01762147059328e-05;0.386490039993178;3.92952622312844;1.40896808517484e-06;177.618743721396
"sp45";0.258892032526712;0.0671387629391123;0.233913323669884;1.10616912281755e-05;0.328550171985427;36.4240193674435;3.09574937248037e-07;62.6342332204804
"sp46";0.483539967579565;0.0509610740092722;0.564243715066567;0.000908400430400021;0.233652193340565;1.3957781388685;1.28817331146133e-06;112.771522335242
"sp47";0.242427284533528;0.0757811837292992;0.267306811323166;4.97549937678918e-08;0.575823890236971;7.76792441096142;1.49265686032105e-06;104.538223212585
"sp48";0.124826584450564;0.10312105918241;0.326674570425505;0.00024131131138883;0.290543007642928;16.2734223166994;3.38492519037691e-09;18.9650588566437
